number,link,Message,Subject Line,characters_count,and_or,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_obj_conn,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,removed_lines,label,not_sure,
1,https://github.com/torvalds/subsurface-for-dirk/commit/ed45f7cb140a508b6f661f75b2c4803686b0e379,"Add crazy (bad) xml parser thing

It only works for the Suunto ""one xml file per dive"" format, not for the
libdivecomputer one that just puts many dives in one file.

Maybe there is some way for libxml2 to handle concatenated xml files
(start again on errors), but I don't know it yet.

I need to get stinking drunk before I look at more xml mess.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add crazy (bad) xml parser thing,32,1,1,1,1,1,1,1,2,0,0,-1,1,1,1,50,0,good,,
2,https://github.com/torvalds/subsurface-for-dirk/commit/fb214b2b3918120f0cd5aebe7c48a7482d1c1276,"Make the multi-dive files valid XML

They had multiple ""root"" entries (all called 'dive'), which makes baby
Jesus cry.

So just enclose them all in one root entry (called 'dives') that
magically turns it all into parseable xml.

Yeah, that really helps make the world a better place.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make the multi-dive files valid XML,35,1,1,1,1,1,1,1,4,0,0,-1,-1,-1,-1,8,0,good,,
3,https://github.com/torvalds/subsurface-for-dirk/commit/77ce61644b414fc4c6596321764aa586b923178a,"Turn the XML into something almost parseable.

Of course, now the problem is that the different XML files have
different node names, but at least we've turned it into a half-way sane
format, and have a nice callback place per value.

Soon we could use that to actually fill in useful information.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Turn the XML into something almost parseable.,45,1,1,1,0,1,1,1,2,6,0,0,-1,0.31,-1,64,10,good,,
4,https://github.com/torvalds/subsurface-for-dirk/commit/a71e8dd777a27b5e9c56e1834f964b385b1157d4,"Move the parser closer to being usable

Ok, so we have the dive split and the sample splits, so now we could
really just start filling in data.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Move the parser closer to being usable,38,1,1,1,1,1,1,1,1,10,0,0,0.38,0.88,1,59,6,good,,
5,https://github.com/torvalds/subsurface-for-dirk/commit/ee35716ec72e258897f69e5a22400bc52c51716d,"Fill in dummy parse target code

.. but don't actually parse anything yet.  But hey - now it tells you
how many samples it (hasn't) parsed.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fill in dummy parse target code,31,1,1,1,1,1,1,1,1,9,0,0,0.67,0.73,1,161,3,good,,
6,https://github.com/torvalds/subsurface-for-dirk/commit/414565e000d24fe8b483294fbec64539e336bb4e,"Start showing unparsed entries

(ie all of them)

This also shows the type of entry, which makes it clear that I've
screwed up the sample matching.  Oh well.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start showing unparsed entries,30,1,1,1,1,1,1,1,1,4,0,0,1,0.33,1,17,0,good,,
7,https://github.com/torvalds/subsurface-for-dirk/commit/4b3bd4b739bd7a89c5dd972fff726556b219aeb2,"Fix stupid mis-initialization of current sample

.. nice compiler warning hidden by the crazy gcc pointer sign warnings
that nobody wants to see (yes, we really do want to do 'strlen()' even
on unsigned strings, don't complain, crazy bitch compiler).

So this also makes our CFLAGS set -Wno-pointer-sign.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix stupid mis-initialization of current sample,47,1,1,1,1,1,1,1,2,1,0,0,-1,-1,-1,5,2,good,,
8,https://github.com/torvalds/subsurface-for-dirk/commit/e1a939ac626dda5cf97122cb650c553b2d1fcb2a,"Move the ""text"" nodename hackery out of 'nodename()'

It's better to do it in the caller.  Debug users may well want the full
node name.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Move the ""text"" nodename hackery out of 'nodename()'",52,1,1,1,1,1,1,1,1,2,0,0.5,1,1,1,7,6,good,,
9,https://github.com/torvalds/subsurface-for-dirk/commit/edbf68d8055b343d1b608b0d934e7876602b7ff7,"Start parsing dive dates

.. only the suunto XML format, though.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start parsing dive dates,24,1,1,1,1,1,1,1,1,14,0,0,0.47,0.77,0.68,110,17,neutral,1,
10,https://github.com/torvalds/subsurface-for-dirk/commit/8a670bfb5cf11a0b5bb02ab447fff31f589bb90a,"Start parsing numeric fields

Depth, pressure, and sample times.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start parsing numeric fields,28,1,1,1,1,1,1,1,1,7,0,0.14,0.07,0.89,0.61,158,0,good,,
11,https://github.com/torvalds/subsurface-for-dirk/commit/83e0bf8b520c54a9ef0b90ccf676022ae27e7737,"Add 'verbose' flag

Now that we actually parse some of the dives, don't spam stdout with the
list of stuff we can't parse by default.

Add a 'verbose' flag, which enables that output when set.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add 'verbose' flag,18,1,1,1,1,1,1,1,1,3,0,0,1,0.95,1,31,5,good,,
12,https://github.com/torvalds/subsurface-for-dirk/commit/f46e9f571e92156cd764d6711cac671c053260a1,"Start actually reporting the numbers we parsed

.. which also showed that the sampletime thing had gotten a bit too much
copy-paste from the temperature parsing ;)

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start actually reporting the numbers we parsed,46,1,1,1,1,1,1,1,1,5,0,0.2,0.09,1,1,27,2,good,,
13,https://github.com/torvalds/subsurface-for-dirk/commit/716a680920cdd27129c36ea284e44920d0f2d79d,"Fix up temperature conversion

Oops. No, the water temperature wasn't really 500 degC.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix up temperature conversion,29,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3,1,good,,
