number,link,Message,Subject Line,character count,subject_len,and_or_count,Blank Line,Capital,dot,imperative,wrap,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters
1,https://github.com/torvalds/subsurface-for-dirk/commit/857e153070aee4383a82342a41caf0c5a0f8d700,"Start archiving the stupid XML files

(and add a reminder of how they came to be)

Gaah.  XML is *stupid*.  It's not easy to parse for humans or for
computers, and some of these XML files are just disgusting.  But maybe
they can be turned into something usable with libxml.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start archiving the stupid XML files,36,2,1,1,1,1,1,1,1,165,0,0.0,N/A,N/A,N/A,N/A
2,https://github.com/torvalds/subsurface-for-dirk/commit/ed45f7cb140a508b6f661f75b2c4803686b0e379,"Add crazy (bad) xml parser thing

It only works for the Suunto ""one xml file per dive"" format, not for the
libdivecomputer one that just puts many dives in one file.

Maybe there is some way for libxml2 to handle concatenated xml files
(start again on errors), but I don't know it yet.

I need to get stinking drunk before I look at more xml mess.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add crazy (bad) xml parser thing,32,2,1,1,1,1,1,1,1,2,0,0.0,N/A,1.0,1.0,1.0
3,https://github.com/torvalds/subsurface-for-dirk/commit/fb214b2b3918120f0cd5aebe7c48a7482d1c1276,"Make the multi-dive files valid XML

They had multiple ""root"" entries (all called 'dive'), which makes baby
Jesus cry.

So just enclose them all in one root entry (called 'dives') that
magically turns it all into parseable xml.

Yeah, that really helps make the world a better place.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make the multi-dive files valid XML,35,2,1,1,1,1,1,1,1,4,0,0.0,N/A,N/A,N/A,N/A
4,https://github.com/torvalds/subsurface-for-dirk/commit/77ce61644b414fc4c6596321764aa586b923178a,"Turn the XML into something almost parseable.

Of course, now the problem is that the different XML files have
different node names, but at least we've turned it into a half-way sane
format, and have a nice callback place per value.

Soon we could use that to actually fill in useful information.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Turn the XML into something almost parseable.,45,2,1,1,1,0,1,1,1,2,6,0.0,0.0,N/A,0.3076923076923077,N/A
5,https://github.com/torvalds/subsurface-for-dirk/commit/a71e8dd777a27b5e9c56e1834f964b385b1157d4,"Move the parser closer to being usable

Ok, so we have the dive split and the sample splits, so now we could
really just start filling in data.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Move the parser closer to being usable,38,2,1,1,1,1,1,1,1,1,10,0.0,0.0,0.375,0.875,1.0
6,https://github.com/torvalds/subsurface-for-dirk/commit/ee35716ec72e258897f69e5a22400bc52c51716d,"Fill in dummy parse target code

.. but don't actually parse anything yet.  But hey - now it tells you
how many samples it (hasn't) parsed.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fill in dummy parse target code,31,2,1,1,1,1,1,1,0,1,9,0.0,0.0,0.6666666666666666,0.7291666666666666,1.0
7,https://github.com/torvalds/subsurface-for-dirk/commit/414565e000d24fe8b483294fbec64539e336bb4e,"Start showing unparsed entries

(ie all of them)

This also shows the type of entry, which makes it clear that I've
screwed up the sample matching.  Oh well.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start showing unparsed entries,30,2,1,1,1,1,1,1,1,1,4,0.0,0.0,1.0,0.3333333333333333,1.0
8,https://github.com/torvalds/subsurface-for-dirk/commit/4b3bd4b739bd7a89c5dd972fff726556b219aeb2,"Fix stupid mis-initialization of current sample

.. nice compiler warning hidden by the crazy gcc pointer sign warnings
that nobody wants to see (yes, we really do want to do 'strlen()' even
on unsigned strings, don't complain, crazy bitch compiler).

So this also makes our CFLAGS set -Wno-pointer-sign.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix stupid mis-initialization of current sample,47,2,1,1,1,1,1,1,1,2,1,0.0,0.0,N/A,N/A,N/A
9,https://github.com/torvalds/subsurface-for-dirk/commit/e1a939ac626dda5cf97122cb650c553b2d1fcb2a,"Move the ""text"" nodename hackery out of 'nodename()'

It's better to do it in the caller.  Debug users may well want the full
node name.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Move the ""text"" nodename hackery out of 'nodename()'",52,1,1,1,1,1,1,1,1,1,2,0.0,0.5,1.0,1.0,1.0
10,https://github.com/torvalds/subsurface-for-dirk/commit/edbf68d8055b343d1b608b0d934e7876602b7ff7,"Start parsing dive dates

.. only the suunto XML format, though.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start parsing dive dates,24,2,1,1,1,1,1,1,1,1,14,0.0,0.0,0.4666666666666667,0.7733333333333333,0.68
11,https://github.com/torvalds/subsurface-for-dirk/commit/8a670bfb5cf11a0b5bb02ab447fff31f589bb90a,"Start parsing numeric fields

Depth, pressure, and sample times.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start parsing numeric fields,28,2,1,1,1,1,1,1,1,1,7,0.0,0.14285714285714285,0.07142857142857142,0.8928571428571429,0.6071428571428571
12,https://github.com/torvalds/subsurface-for-dirk/commit/83e0bf8b520c54a9ef0b90ccf676022ae27e7737,"Add 'verbose' flag

Now that we actually parse some of the dives, don't spam stdout with the
list of stuff we can't parse by default.

Add a 'verbose' flag, which enables that output when set.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add 'verbose' flag,18,1,1,1,1,1,1,1,1,1,3,0.0,0.0,1.0,0.9523809523809523,1.0
13,https://github.com/torvalds/subsurface-for-dirk/commit/f46e9f571e92156cd764d6711cac671c053260a1,"Start actually reporting the numbers we parsed

.. which also showed that the sampletime thing had gotten a bit too much
copy-paste from the temperature parsing ;)

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start actually reporting the numbers we parsed,46,2,1,1,1,1,1,1,1,1,5,0.0,0.2,0.09090909090909091,1.0,1.0
14,https://github.com/torvalds/subsurface-for-dirk/commit/716a680920cdd27129c36ea284e44920d0f2d79d,"Fix up temperature conversion

Oops. No, the water temperature wasn't really 500 degC.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix up temperature conversion,29,2,1,1,1,1,1,1,1,1,1,0.0,0.0,1.0,1.0,1.0
15,https://github.com/torvalds/subsurface-for-dirk/commit/3bd1abdfc781f36d2f87b39134dd4620645fe8ac,"Add 'datetime' parsing for libdivecomputer xml files

I think this gets me dates on all my dives.  So now I could start
sorting them and removing duplicates.

But before I try to remove dups, I guess I should compare the
libdivecomputer ones against the suunto ones.  Because I bet they have
various ""interesting"" issues like using Bar vs Atm etc.

""But XML is portable"". Crazy people.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add 'datetime' parsing for libdivecomputer xml files,52,1,1,1,1,1,1,1,1,1,3,0.0,0.0,0.10526315789473684,0.8947368421052632,1.0
16,https://github.com/torvalds/subsurface-for-dirk/commit/048a5a2b32c0638708ca4779007f9e33226d54f4,"Don't report dives as they are parsed: sort them at the end and report them then

This makes it much easier to see the duplicates, but more importantly,
we do need to actually save the dives off to do any real work with them.

Also, require a verbosity level of 1 (-v) to show all the samples.
While (-vv) shows unparsed entries.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Don't report dives as they are parsed: sort them at the end and report them then,80,0,0,1,1,1,0,0,1,1,6,0.0,0.0,0.9655172413793104,1.0,1.0
17,https://github.com/torvalds/subsurface-for-dirk/commit/fc38f4f0c4dba1b7339edbe7ef01b53cbcc78f15,"Add some more parsing functions

.. and fix the 'duration' parsing: it can be either in seconds, or in
mm:ss format.  Floating point doesn't make any sense.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add some more parsing functions,31,2,1,1,1,1,1,1,1,1,4,0.0,0.25,N/A,0.3,0.025
18,https://github.com/torvalds/subsurface-for-dirk/commit/17fcb3d32d6353bfcbf83a98bd8255727b055259,"Clean up dive reporting

Show date, max depth, and time by default.  The stuff that matters and
should always exist.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Clean up dive reporting,23,2,1,1,1,1,1,1,1,1,2,0.0,0.0,N/A,N/A,N/A
19,https://github.com/torvalds/subsurface-for-dirk/commit/f3a338a9af53f31f9a72de021950cbe725a6782f,"Split up dive data structure declarations into 'dive.h'

The dive parser should eventually be just a part of the program, not the
whole thing. So start preparing for that.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Split up dive data structure declarations into 'dive.h',55,1,1,1,1,1,1,1,1,3,6,0.3333333333333333,0.0,N/A,N/A,N/A
20,https://github.com/torvalds/subsurface-for-dirk/commit/5c4cc39c56470b0a01274e69be703f0d4fc3080b,"Start moving some of the non-parsing stuff out of 'parse.c'

Create a 'main.c' with the main routine and argument ""parsing"" etc.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start moving some of the non-parsing stuff out of 'parse.c',59,1,1,1,1,1,1,1,1,4,8,0.5,0.125,1.0,1.0,1.0
21,https://github.com/torvalds/subsurface-for-dirk/commit/19e670a23b60c044a8492cc43d3db8dc64685042,"Add .gitignore file for current state

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add .gitignore file for current state,37,2,1,1,1,1,1,1,1,1,0,1.0,N/A,N/A,N/A,N/A
22,https://github.com/torvalds/subsurface-for-dirk/commit/0ca546b31e5527713f11676bc965aa1ed8dac619,"Create a gtk window

It doesn't *do* anything, but some day it will.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Create a gtk window,19,1,1,1,1,1,1,1,1,2,4,0.0,0.0,N/A,0.5625,1.0
23,https://github.com/torvalds/subsurface-for-dirk/commit/3aa02ccba93648f2decab899a5b9c42b6bcea9bf,"Generate a default name for a dive, if it doesn't have one already

The name is a string containint date, time, depth and length.  So it's
useful even with nothing else going on.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Generate a default name for a dive, if it doesn't have one already",66,1,1,1,1,1,1,1,1,2,2,0.0,0.0,0.09523809523809523,1.0,1.0
24,https://github.com/torvalds/subsurface-for-dirk/commit/d1ae1c48309cd0ac5af96114040407dd51e92c37,"Show the dives as a gtk list/tree widget

Ok, so I'm not very good at this.  I'll need to enclose the dang thing
in a scrollable window, and then make that scrollable thing just part of
the whole window.

But hey, it's pixels on the screen.  Pixels that show the names of the
dives we've parsed.  At least as many as will fit on screen at one time ;)

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Show the dives as a gtk list/tree widget,40,2,1,1,1,1,1,0,1,1,3,0.0,0.0,0.90625,1.0,1.0
25,https://github.com/torvalds/subsurface-for-dirk/commit/5625b31873ae5a76b76b036be18858327a25d8f0,"Make the dive list scrollable (and put it in a vbox)

This means you can actually see them all, and walk through them.

It doesn't make any of this *useful*, but whatever.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make the dive list scrollable (and put it in a vbox),52,1,1,1,1,1,1,1,1,1,1,0.0,0.0,N/A,1.0,1.0
26,https://github.com/torvalds/subsurface-for-dirk/commit/446e51ccf032c6449c8d38dbac0b2110b4246bc5,"Fix depth parsing

The ""decimal: it's meters, integer: it's feet"" logic doesn't work.  It's
just always meters, because the xml ends up sometimes having whole meters.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix depth parsing,17,1,1,1,1,1,1,0,1,1,1,0.0,1.0,1.0,N/A,N/A
27,https://github.com/torvalds/subsurface-for-dirk/commit/3aa54e206ad214d21a53599a847ae07f1c039a84,"Draw some kind of profile for the (first) dive

This is all kinds of broken: it doesn't actually follow the selected
dive, and the profile isn't scaled properly etc.  But it shows something
new, and not just text.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Draw some kind of profile for the (first) dive,46,2,1,1,1,1,1,1,1,1,3,0.0,0.0,N/A,0.3333333333333333,1.0
28,https://github.com/torvalds/subsurface-for-dirk/commit/8e95ded57bdbaa66ba1c2ec25c55a56d53bce943,"Split up profile frame generation into its own file.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Split up profile frame generation into its own file.,52,1,1,1,1,0,1,1,1,5,2,0.0,0.0,1.0,1.0,1.0
29,https://github.com/torvalds/subsurface-for-dirk/commit/1d69524a7889ffa74a3e28004d9096524834053a,"Get rid of now unused 'show_dive()' function

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Get rid of now unused 'show_dive()' function,44,2,1,1,1,1,1,1,0,1,1,0.0,1.0,1.0,N/A,N/A
30,https://github.com/torvalds/subsurface-for-dirk/commit/77cfe07c52d25554779c60d37e4a55e34a0164f2,"Split up divelist scroll window generation into its own file

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Split up divelist scroll window generation into its own file,60,1,1,1,1,1,1,1,1,4,3,0.0,0.0,N/A,N/A,N/A
31,https://github.com/torvalds/subsurface-for-dirk/commit/de8dc53f755e9872d822f1652d105fa5ef48c6df,"Don't newline-terminate the dive name

That resulted in ugly lists, and it was wrong to begin with.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Don't newline-terminate the dive name,37,2,1,1,1,1,0,1,1,1,1,0.0,0.0,N/A,N/A,N/A
32,https://github.com/torvalds/subsurface-for-dirk/commit/23e831a6ed61878240897cd6a7b276526a3f4ba4,"Re-do the tree selection code with a selection callback

Learnign gtk by looking at cairo examples? It's one way.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Re-do the tree selection code with a selection callback,55,1,1,1,1,1,0,1,0,1,4,0.0,0.0,0.375,1.0,1.0
33,https://github.com/torvalds/subsurface-for-dirk/commit/2044dabc81062c22c7f95a2e0e57f931cee0205f,"Teach the thing to actually track the currently selected dive

.. and repaint the profile when the selection changes.

Now, if it just wasn't so ugly, it might even be useful.  Except it
obviously needs to also show all the other dive information.  And allow
the user to fill in details.  And save the end results.

So no, it's not useful.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Teach the thing to actually track the currently selected dive,61,1,1,1,1,1,1,1,1,4,6,0.0,0.0,0.8571428571428571,1.0,1.0
34,https://github.com/torvalds/subsurface-for-dirk/commit/6cc122f491ca9a069dbd226b9fe7529dbcf61058,"Add 'repaint_dive()' prototype, and fix dependencies

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Add 'repaint_dive()' prototype, and fix dependencies",52,1,0,1,1,1,1,1,1,2,0,0.0,N/A,N/A,N/A,N/A
35,https://github.com/torvalds/subsurface-for-dirk/commit/7017d17562fe803946ef9e0d8e9af9611bc43ba5,"Use a gtk table instead of hbox

We'll want to add various dive statistics, so...  Without them, it all
looks pretty much the same, though.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Use a gtk table instead of hbox,31,2,1,1,1,1,1,1,1,2,2,0.0,0.0,N/A,N/A,N/A
36,https://github.com/torvalds/subsurface-for-dirk/commit/a11dbbdb1856a05b97e872fd732682d9bf8ef49b,"Add fake 'info' frame contents

It should have depth, time, place etc information, but right now it only
has a fake depth that doesn't even get updated.  Just to show the idea
of the table usage.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add fake 'info' frame contents,30,2,1,1,1,1,1,1,1,4,1,0.0,0.0,0.8823529411764706,1.0,1.0
37,https://github.com/torvalds/subsurface-for-dirk/commit/eed9538101a97142d8327119b9539f847f818198,"Plot dive profile slightly more intelligently.

This actually creates a bounding box and some scale markers.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Plot dive profile slightly more intelligently.,46,2,1,1,1,0,1,1,0,1,4,0.0,0.0,0.5227272727272727,0.18181818181818182,1.0
38,https://github.com/torvalds/subsurface-for-dirk/commit/059f047788a9549e448f6e9f108a9f55b81ee64c,"plot a fancier 'filled' depth profile

Now I'm just dicking around with cairo.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",plot a fancier 'filled' depth profile,37,2,1,1,0,1,1,1,0,1,1,0.0,1.0,N/A,N/A,1.0
39,https://github.com/torvalds/subsurface-for-dirk/commit/ee56021dfbc3bcc12f5917cdf481cc96c51a2b89,"dive profile plot: use saner minimum limits

The time minimum was in seconds, not minutes, and we really do want to
show at least to 90ft to make shallow dives look shallow rather than
scaled to some full depth.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",dive profile plot: use saner minimum limits,43,2,1,1,0,1,1,1,1,1,2,0.0,0.0,N/A,N/A,N/A
40,https://github.com/torvalds/subsurface-for-dirk/commit/c7e29063722a57211e00acc5ee98e05c37f89a99,"dive parsing: enforce maxdepth and dive duration

If we see samples from past the dive duration, update the dive duration.
Likewise with maxdepth.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",dive parsing: enforce maxdepth and dive duration,48,2,0,1,0,1,1,1,1,1,1,0.0,0.0,1.0,1.0,1.0
41,https://github.com/torvalds/subsurface-for-dirk/commit/a39b2ee220cd23d4d6ed52f23e50fee0d4381a93,"Add some more dive info - and actually update it

It's still the ugliest application ever, but now it at least gives you
some basic dive info.

I'd love to add a way to edit the dives to add new data (name, buddies,
location etc), but that would also require the ability to save the end
result.  Maybe some day.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add some more dive info - and actually update it,48,2,0,1,1,1,1,1,1,3,3,0.0,0.0,N/A,1.0,1.0
42,https://github.com/torvalds/subsurface-for-dirk/commit/c17300cfaa7dcc95b70112281491b8fb1a530f8e,"Use a 'notebook' for Info vs Profile

I dunno.  This seems a better interface at least if we get more info for
the dive, but I suspect I'll want to the add basic info to the profile
page too.

This makes the 'table' approach to layout be kind of pointless again,
and the table has become a fancy vbox.  Maybe I'll put the core info
back, and use the notebook 'Info' page for extended information.

I should just bite the bullet and start saving the dive data, and adding
editing functions for adding information.  But instead I'm playing
around with random gtk widgets.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Use a 'notebook' for Info vs Profile,36,2,1,1,1,1,1,1,1,1,1,0.0,0.0,N/A,1.0,1.0
43,https://github.com/torvalds/subsurface-for-dirk/commit/00d798854aa2594b819f50dc135efca96a93adb9,"Start cleaning up dive accessors

I'm going to add a menu to import (and eventually export) dives, and so
we'd like to be able to start out with no dives at all.  Right now we
croak if that happens - it's not like the code has been written with
actual end users in mind.

So start cleaning things up.  First make the 'current_dive' macro work
right even for invalid dives.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start cleaning up dive accessors,32,2,1,1,1,1,1,1,1,2,1,0.0,0.0,1.0,1.0,1.0
44,https://github.com/torvalds/subsurface-for-dirk/commit/968aa28155b3a55b558d16e3a46dfd5c887dc3c6,"Do something half-way sane (no SIGSEGV) when there are no dives

It just leaves ugly blank areas, but whatever.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Do something half-way sane (no SIGSEGV) when there are no dives,63,1,1,1,1,1,1,1,1,2,2,0.0,0.0,N/A,1.0,1.0
45,https://github.com/torvalds/subsurface-for-dirk/commit/1c010afc88897e0a5a7293cff81ae2875fa91838,"Add a top 'File' menu

It doesn't actually *do* anything, but what else is new?

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add a top 'File' menu,21,2,1,1,1,1,1,1,1,1,4,0.0,0.0,0.7272727272727273,1.0,1.0
46,https://github.com/torvalds/subsurface-for-dirk/commit/3d01a5f71a29a8b7ce2a3648130660dabe62fae9,"Boiler-plate code for opening/saving a file

All just copied from the gtk docs.  No actual loading or saving is
taking place, though.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Boiler-plate code for opening/saving a file,43,2,1,1,1,1,0,1,1,1,3,0.0,0.0,N/A,1.0,1.0
47,https://github.com/torvalds/subsurface-for-dirk/commit/23c6a42b084fbd1affbf7cc1b3f5e94fb15d3a92,"Make the main display saner

This tweaks:
 - packing to be what you'd kind of expect
 - makes the ""summary info"" always visible
 - the ""extended info"" is now on a notebook page of its own
 - dive profile the first notebook page, since the summary
   information is visible regardless.
which all just seems a lot more logical.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make the main display saner,27,2,1,1,1,1,1,1,0,3,3,0.0,0.3333333333333333,0.8461538461538461,1.0,1.0
48,https://github.com/torvalds/subsurface-for-dirk/commit/feec55504084baf022517d39e72431b4d361a217,"Add some extended dive info fields

.. and tweak the basic info layout a bit.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add some extended dive info fields,34,2,1,1,1,1,1,1,1,2,7,0.0,0.0,1.0,1.0,1.0
49,https://github.com/torvalds/subsurface-for-dirk/commit/4350a75b9455387c0da36b9b52349a858d8fca9c,"Rename some files to be more appropriate

The executable is now called 'divelog'.  If this gets useful enough to
actually *use*, I guess I'll have to come up with a real name some day.

Add a silly README, rename 'parse' to 'parse-xml'.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Rename some files to be more appropriate,40,2,1,1,1,1,1,1,1,3,0,0.3333333333333333,N/A,N/A,N/A,N/A
50,https://github.com/torvalds/subsurface-for-dirk/commit/da4edbcce81a9a90e414bc6281183df154019b0c,"xml parsing: start traversing properties too

This requires us to change the way we match things up, because now we
can have things like

   dives.dive.sample.event.time

and

   dives.dive.sample.time

and they are different things (that ""sample.event.time"" is a 'time'
property of the 'event').

Now, this is always going to be ambiguous, since our linearized name of
the xml doesn't really care whether it's a xml node ""child"" or a
""property"", but quite frankly, I don't care. XML just isn't worth the pain.

In fact, maybe this ambiguity can end up being a good thing.  We will
parse these two different lines of XML the same way:

  <dive><sample><time>50</time><depth>10.8</depth></sample></dive>

  <dive><sample time=""50"" depth=""10.8""></sample></dive>

and the attribute approach seems to be the nicer one.  Maybe I'll use
that for the output format.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",xml parsing: start traversing properties too,44,2,1,1,0,1,0,0,1,1,12,0.0,0.16666666666666666,0.9411764705882353,0.35294117647058826,0.8823529411764706
