characters_count,and_or_count,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,label
32,1,1,1,1,1,1,1,2,0,0,-1,1,1,1,50,good
35,1,1,1,1,1,1,1,4,0,0,-1,-1,-1,-1,8,good
45,1,1,1,0,1,1,1,2,6,0,0,-1,0.31,-1,64,good
38,1,1,1,1,1,1,1,1,10,0,0,0.38,0.88,1,59,good
31,1,1,1,1,1,1,1,1,9,0,0,0.67,0.73,1,161,good
30,1,1,1,1,1,1,1,1,4,0,0,1,0.33,1,17,good
47,1,1,1,1,1,1,1,2,1,0,0,-1,-1,-1,5,good
52,1,1,1,1,1,1,1,1,2,0,0.5,1,1,1,7,good
24,1,1,1,1,1,1,1,1,14,0,0,0.47,0.77,0.68,110,neutral
28,1,1,1,1,1,1,1,1,7,0,0.14,0.07,0.89,0.61,158,good
18,1,1,1,1,1,1,1,1,3,0,0,1,0.95,1,31,good
46,1,1,1,1,1,1,1,1,5,0,0.2,0.09,1,1,27,good
29,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3,good
52,1,1,1,1,1,1,1,1,3,0,0,0.11,0.89,1,23,good
80,0,1,0,1,1,0,1,1,6,0,0,0.97,1,1,42,neutral
31,1,1,1,1,1,1,1,1,4,0,0.25,-1,0.3,0.03,47,good
23,1,1,1,1,1,1,1,1,2,0,0,-1,-1,-1,3,good
55,1,1,1,1,1,1,1,3,6,0.33,0,-1,-1,-1,119,good
59,1,1,1,1,1,1,1,4,8,0.5,0.12,1,1,1,127,good
37,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,2,good
19,1,1,1,1,1,1,1,2,4,0,0,-1,0.56,1,35,good
66,1,1,1,1,1,1,1,2,2,0,0,0.1,1,1,25,good
40,1,1,1,1,1,0,1,1,3,0,0,0.91,1,1,44,good
52,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,19,good
17,1,1,1,1,1,0,1,1,1,0,1,1,-1,-1,3,good
46,1,1,1,1,1,1,1,1,3,0,0,-1,0.33,1,43,good
52,1,1,1,0,1,1,1,5,2,0,0,1,1,1,72,good
44,1,1,1,1,1,1,0,1,1,0,1,1,-1,-1,0,good
60,1,1,1,1,1,1,1,4,3,0,0,-1,-1,-1,63,good
37,1,1,1,1,0,1,1,1,1,0,0,-1,-1,-1,1,good
55,1,1,1,1,0,1,0,1,4,0,0,0.38,1,1,41,good
61,1,1,1,1,1,1,1,4,6,0,0,0.86,1,1,17,good
52,0,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1,4,good
31,1,1,1,1,1,1,1,2,2,0,0,-1,-1,-1,10,good
30,1,1,1,1,1,1,1,4,1,0,0,0.88,1,1,36,good
46,1,1,1,0,1,1,0,1,4,0,0,0.52,0.18,1,82,neutral
37,1,1,0,1,1,1,1,1,1,0,1,-1,-1,1,12,good
43,1,1,0,1,1,1,1,1,2,0,0,-1,-1,-1,8,good
48,0,1,0,1,1,1,1,1,1,0,0,1,1,1,10,good
48,0,1,1,1,1,1,1,3,3,0,0,-1,1,1,41,good
36,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,10,good
32,1,1,1,1,1,1,1,2,1,0,0,1,1,1,9,good
63,1,1,1,1,1,1,1,2,2,0,0,-1,1,1,9,good
21,1,1,1,1,1,1,1,1,4,0,0,0.73,1,1,38,good
43,1,1,1,1,0,1,1,1,3,0,0,-1,1,1,40,good
27,1,1,1,1,1,1,0,3,3,0,0.33,0.85,1,1,29,good
34,1,1,1,1,1,1,1,2,7,0,0,1,1,1,53,good
40,1,1,1,1,1,1,1,3,0,0.33,-1,-1,-1,-1,11,good
44,1,1,0,1,1,0,1,1,12,0,0.17,0.94,0.35,0.88,69,neutral
29,1,1,1,1,1,1,0,1,2,0,0.5,0.77,0.77,0.77,0,good
23,1,1,1,1,1,1,1,2,13,0,0.08,0.62,0.7,0.43,119,good
40,1,1,0,1,0,1,0,1,1,0,0,1,1,1,3,neutral
42,1,1,0,1,1,1,1,2,4,0,0,0.15,1,0.15,36,good
27,1,1,1,1,1,1,1,4,1,0,0,1,0.82,1,97,good
36,1,1,1,1,1,1,1,2,6,0,0,0.33,0.33,0.33,7,good
66,0,1,1,1,1,1,1,1,5,0,0,1,0.21,1,27,good
74,1,1,1,1,1,0,1,1,2,0,0,-1,0.82,0.82,15,neutral
36,1,1,1,0,0,1,1,1,3,0,0,-1,-1,-1,4,neutral
31,1,1,1,1,1,1,1,1,6,0,0,-1,-1,-1,15,good
37,1,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,1,good
34,0,1,1,1,1,1,1,4,12,0,0,0.35,0.64,0.44,130,neutral
32,1,1,1,0,0,1,1,1,1,0,0,-1,1,-1,9,good
38,1,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,1,good
51,1,1,1,1,1,1,1,1,1,0,0,-1,1,-1,5,good
36,1,1,1,1,1,1,1,1,2,0,0,-1,1,1,9,good
62,1,1,1,1,1,1,1,1,20,0,0,0.74,0.8,0.84,193,neutral
57,1,1,1,1,1,1,1,1,7,0,0,0.5,-1,0.25,26,good
29,1,1,1,1,0,1,1,1,1,0,1,-1,1,-1,3,good
31,1,1,1,1,1,1,1,1,7,0,0,1,0.83,0.69,58,good
21,1,1,1,1,1,1,1,3,7,0,0,0.08,0.5,0.51,181,neutral
37,1,1,1,0,1,1,1,1,4,0,0,-1,0.3,1,25,good
19,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,36,good
63,0,1,1,1,1,1,1,6,12,0,0.17,0.07,0.45,0.4,308,bad
66,1,1,1,1,0,1,1,1,2,0,0,1,1,1,27,good
36,1,1,1,1,1,1,1,1,1,0,0,-1,-1,1,14,good
21,1,1,1,0,1,1,1,1,0,1,-1,-1,-1,-1,1,good
41,1,1,1,1,1,1,1,5,30,0,0.03,0.63,0.6,0.5,182,neutral
45,1,1,1,0,1,1,1,1,1,0,0,1,1,1,25,good
82,1,1,1,1,1,0,1,1,1,0,0,1,-1,1,7,good
33,1,1,1,1,0,1,1,1,1,0,0,1,-1,1,0,good
54,0,1,1,1,1,1,1,1,2,0,0,1,1,1,11,good
53,1,1,1,0,1,1,1,1,6,0,0,1,1,1,21,good
78,1,1,1,0,1,0,1,1,1,0,0,-1,-1,1,2,neutral
88,0,1,1,0,0,0,1,1,1,0,0,1,-1,1,0,bad
58,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,neutral
54,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,good
