message,label
"add crazy bad xml parser thing

it only works for the suunto one xml file per dive format not for the
libdivecomputer one that just puts many dives in one file

maybe there is some way for libxml2 to handle concatenated xml files
start again on errors but i dont know it yet

i need to get stinking drunk before i look at more xml mess

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"make the multidive files valid xml

they had multiple root entries all called dive which makes baby
jesus cry

so just enclose them all in one root entry called dives that
magically turns it all into parseable xml

yeah that really helps make the world a better place

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"turn the xml into something almost parseable

of course now the problem is that the different xml files have
different node names but at least weve turned it into a halfway sane
format and have a nice callback place per value

soon we could use that to actually fill in useful information

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"move the parser closer to being usable

ok so we have the dive split and the sample splits so now we could
really just start filling in data

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"fill in dummy parse target code

 but dont actually parse anything yet  but hey  now it tells you
how many samples it hasnt parsed

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"start showing unparsed entries

ie all of them

this also shows the type of entry which makes it clear that ive
screwed up the sample matching  oh well

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"fix stupid misinitialization of current sample

 nice compiler warning hidden by the crazy gcc pointer sign warnings
that nobody wants to see yes we really do want to do strlen even
on unsigned strings dont complain crazy bitch compiler

so this also makes our cflags set wnopointersign

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"move the text nodename hackery out of nodename

its better to do it in the caller  debug users may well want the full
node name

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"start parsing dive dates

 only the suunto xml format though

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"start parsing numeric fields

depth pressure and sample times

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add verbose flag

now that we actually parse some of the dives dont spam stdout with the
list of stuff we cant parse by default

add a verbose flag which enables that output when set

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"start actually reporting the numbers we parsed

 which also showed that the sampletime thing had gotten a bit too much
copypaste from the temperature parsing 

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"fix up temperature conversion

oops no the water temperature wasnt really 500 degc

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add datetime parsing for libdivecomputer xml files

i think this gets me dates on all my dives  so now i could start
sorting them and removing duplicates

but before i try to remove dups i guess i should compare the
libdivecomputer ones against the suunto ones  because i bet they have
various interesting issues like using bar vs atm etc

but xml is portable crazy people

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"dont report dives as they are parsed sort them at the end and report them then

this makes it much easier to see the duplicates but more importantly
we do need to actually save the dives off to do any real work with them

also require a verbosity level of 1 v to show all the samples
while vv shows unparsed entries

signedoffby linus torvalds torvalds@linuxfoundationorg",bad
"add some more parsing functions

 and fix the duration parsing it can be either in seconds or in
mmss format  floating point doesnt make any sense

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"clean up dive reporting

show date max depth and time by default  the stuff that matters and
should always exist

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"split up dive data structure declarations into diveh

the dive parser should eventually be just a part of the program not the
whole thing so start preparing for that

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"start moving some of the nonparsing stuff out of parsec

create a mainc with the main routine and argument parsing etc

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add gitignore file for current state

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"create a gtk window

it doesnt do anything but some day it will

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"generate a default name for a dive if it doesnt have one already

the name is a string containint date time depth and length  so its
useful even with nothing else going on

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"show the dives as a gtk listtree widget

ok so im not very good at this  ill need to enclose the dang thing
in a scrollable window and then make that scrollable thing just part of
the whole window

but hey its pixels on the screen  pixels that show the names of the
dives weve parsed  at least as many as will fit on screen at one time 

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"make the dive list scrollable and put it in a vbox

this means you can actually see them all and walk through them

it doesnt make any of this useful but whatever

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"fix depth parsing

the decimal its meters integer its feet logic doesnt work  its
just always meters because the xml ends up sometimes having whole meters

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"draw some kind of profile for the first dive

this is all kinds of broken it doesnt actually follow the selected
dive and the profile isnt scaled properly etc  but it shows something
new and not just text

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"split up profile frame generation into its own file

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"get rid of now unused showdive function

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"split up divelist scroll window generation into its own file

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"dont newlineterminate the dive name

that resulted in ugly lists and it was wrong to begin with

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"redo the tree selection code with a selection callback

learnign gtk by looking at cairo examples its one way

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"teach the thing to actually track the currently selected dive

 and repaint the profile when the selection changes

now if it just wasnt so ugly it might even be useful  except it
obviously needs to also show all the other dive information  and allow
the user to fill in details  and save the end results

so no its not useful

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"add repaintdive prototype and fix dependencies

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"use a gtk table instead of hbox

well want to add various dive statistics so  without them it all
looks pretty much the same though

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add fake info frame contents

it should have depth time place etc information but right now it only
has a fake depth that doesnt even get updated  just to show the idea
of the table usage

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"plot dive profile slightly more intelligently

this actually creates a bounding box and some scale markers

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"plot a fancier filled depth profile

now im just dicking around with cairo

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"dive profile plot use saner minimum limits

the time minimum was in seconds not minutes and we really do want to
show at least to 90ft to make shallow dives look shallow rather than
scaled to some full depth

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"dive parsing enforce maxdepth and dive duration

if we see samples from past the dive duration update the dive duration
likewise with maxdepth

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"add some more dive info  and actually update it

its still the ugliest application ever but now it at least gives you
some basic dive info

id love to add a way to edit the dives to add new data name buddies
location etc but that would also require the ability to save the end
result  maybe some day

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"use a notebook for info vs profile

i dunno  this seems a better interface at least if we get more info for
the dive but i suspect ill want to the add basic info to the profile
page too

this makes the table approach to layout be kind of pointless again
and the table has become a fancy vbox  maybe ill put the core info
back and use the notebook info page for extended information

i should just bite the bullet and start saving the dive data and adding
editing functions for adding information  but instead im playing
around with random gtk widgets

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"start cleaning up dive accessors

im going to add a menu to import and eventually export dives and so
wed like to be able to start out with no dives at all  right now we
croak if that happens  its not like the code has been written with
actual end users in mind

so start cleaning things up  first make the currentdive macro work
right even for invalid dives

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"do something halfway sane no sigsegv when there are no dives

it just leaves ugly blank areas but whatever

signedoffby linus torvalds torvalds@linuxfoundationorg",bad
"add a top file menu

it doesnt actually do anything but what else is new

signedoffby linus torvalds torvalds@linuxfoundationorg",good
